HotelID,LocationName,LocationAddress,chain,chain1,chain2,chain3,chain4
225740,COMFORT SUITES LAKE JACKSON,296 ABNER JACKSON PKWY,1,1,1,0,1
225742,COMFORT SUITES TEXARKANA,215 RICHILL DR,1,1,1,0,1
225768,HYATT REGENCY NORTH DALLAS,701 E CAMPBELL RD,1,1,1,1,1
225796,ISLA GRAND BEACH RESORT,500 PADRE BLVD,0,0,0,0,0
225888,EXTENDED STAY AMERICA LAREDO DEL MAR,106 W VILLAGE BLVD,1,1,1,1,1
225889,RED ROOF INN # 10224,1006 W CALTON RD,1,1,1,1,1
225962,PALACE INN,15545 EAST FWY,0,1,1,0,0
225963,EXTENDED STAY DELUXE #9831,4726 SUGAR GROVE BLVD,1,1,1,1,1
225964,DAYS INN & SUITES,4630 TECHNIPLEX DR,1,1,1,1,1
226038,COUNTRY INN & SUITES HUMBLE,20611 HIGHWAY 59 N,1,1,1,1,1
226039,LA QUINTA INN & SUITES,118 US HIGHWAY 80 E,1,1,1,1,1
226190,MOTEL 6,5151 THAXTON PKWY,1,1,1,1,1
226212,REGENCY INN AND SUITES,901 AIRPORT FWY,0,0,0,0,0
226214,DAYS INN & SUITES,13954 TRINITY BLVD,1,1,1,1,1
226222,EXTENDED STAY AMERICA #9827,720 W BAY AREA BLVD,1,1,1,1,1
226223,INTOWN SUITES CARROLLTON,2661 WESTGROVE DR,1,1,1,1,1
226433,MOTEL 6 AUSTIN NORTH,9420 N INTERSTATE 35,1,1,1,1,1
226485,LOCKHEART GABLES ROMANTIC  BED & BREAKFAST,5220 LOCKE AVE,0,0,0,0,0
226753,SUPER 8 MOTEL,18103 KINGS ROW,1,1,1,1,1
229524,BAYMONT INN & SUITES,1506 INTERSTATE 45 S,1,0,1,1,0
229531,SUPER 8 MOTEL,2300 W OAK ST,0,1,1,0,1
229604,SUPER 8 MOTEL,1702 E EXPRESSWAY 83,1,1,1,1,1
230162,WYNDHAM GARDEN MCALLEN AT LA PLAZA MALL,1921 S 10TH ST,1,0,1,1,0
230477,"AMCO HOTEL & SUITES, INC.",404 S FORT HOOD ST,0,0,0,0,0
230483,QUALITY INN & SUITES,803 N ACCESS RD,1,1,1,1,1
230484,MAJESTIC INN,1409 E MARSHALL AVE,0,0,0,0,0
230501,COUNTRY INN & SUITES,3825 S EXPRESSWAY 83,1,1,1,1,1
230534,HAMPTON INN & SUITES,4400 S 1ST ST,1,1,1,1,1
230535,TEXAS INN & SUITES,2216 S 1ST ST,0,0,0,0,0
230536,STAYBRIDGE SUITES SAN ANGELO,1355 KNICKERBOCKER RD,1,1,1,1,1
230537,AMERICA'S BEST VALUE INN,1601 S BRYANT BLVD,1,1,1,0,0
230541,QUALITY INN AND SUITES,1740 MAURINE ST,1,1,1,1,1
230543,TEXAS INN,3103 US HIGHWAY 59 N,0,0,0,0,0
230546,MOTEL 6 SAN MARCOS,1321 N INTERSTATE 35,0,0,0,0,0
230549,RED ROOF INN,817 N INTERSTATE 35,1,1,1,1,1
235522,BEST WESTERN INN & SUITES,2910 W UNIVERSITY DR,1,1,1,1,1
239355,SUPER 8 MOTEL,1217 FEDERAL RD,1,1,1,1,1
239652,CANDLEWOOD SUITES ROUND ROCK,521 S INTERSTATE 35,1,1,1,1,1
239857,STUDIO 6 #6037,220 BAMMEL WESTFIELD RD,1,1,1,1,1
239858,STUDIO 6 HOBBY,12700 N FEATHERWOOD DR,1,1,1,1,1
239865,BESTWESTERN INN & SUITES,11611 NORTHWEST FWY,1,1,1,1,1
239867,BEST WESTERN NORTHWEST INN,2361 W NORTHWEST HWY,1,1,1,1,1
239890,STUDIO 6 AUSTIN MIDTOWN,6603 N INTERSTATE 35,1,1,1,1,1
239891,STUDIO 6 AUSTIN NORTHWEST,11901 PAVILION BLVD,1,1,1,1,1
239912,BEST WESTERN PLUS SUNSET SUITES,1103 E COMMERCE ST,1,1,1,1,1
239967,STUDIO 6 SAN ANTONIO,11802 W INTERSTATE 10,1,1,1,1,1
239968,STUDIO 6 SAN ANTONIO MEDICAL CENTER,7719 PASTEUR CT,1,1,1,1,1
239974,BUDGET LODGE OF SAN ANTONIO,2635 NE LOOP 410,1,1,1,1,1
239990,BEST WESTERN PLUS WINDSOR INN,5410 INTERSTATE 27,1,1,1,1,1
240001,COURTYARD BY MARRIOTT EL PASO AIRPORT,6610 INTERNATIONAL RD,1,1,1,1,1
240057,ECONO LODGE INN & SUITES,722 N PORT AVE,1,1,1,1,1
240281,COUNTRY INN & SUITES,755 E VISTA RIDGE MALL DR STE B,1,1,1,1,1
240435,RED CARPET INN,6868 HORNWOOD DR,1,0,1,1,0
240437,BEST WESTERN PLUS HOBBY INN & SUITES,8778 AIRPORT BLVD BLDG 72,1,1,1,1,1
240438,DOWNTOWNER INNS,2510 HAMILTON ST,1,0,1,1,0
240439,HILTON GARDEN INN,15400 JFK BLVD,1,1,1,1,1
240440,PALACE INN,7550 EASTEX FWY,1,1,1,0,0
240444,SCOTTISH INN,424 E TIDWELL RD,1,1,1,1,1
240445,SCOTTISH INN,6677 WESTCOTT ST,1,1,1,1,1
240446,SCOTTISH INN,3331 ANTOINE DR,1,1,1,1,1
240522,SUPER 8 MOTEL,2712 E ABRAM ST,1,1,1,1,1
240526,"COUNTRY INN & SUITES,AUSTIN",7400 N INTERSTATE 35,1,1,1,1,1
240568,SURESTAY PLUS BY BEST WESTERN,11355 SAN PEDRO AVE,1,1,1,1,1
240569,RITTIMAN INN & SUITES,6364 N IH 35,0,0,0,0,0
240621,AMERICAS BEST VALUE INN,450 RAYNOLDS ST,1,1,1,0,0
241632,TRAVELODGE,2407 E HOLLAND AVE,1,1,1,1,1
241635,LA QUINTA INN,12875 SEAGOVILLE RD,0,0,0,0,0
241636,SUPER 8 BAYTOWN,1931 EAST FWY,1,1,1,1,1
241637,MERIT INN & SUITES,2640 INTERSTATE 10 E,1,1,1,0,0
241640,SUPER 8 MOTEL,5225 N BEACH ST,1,1,1,1,1
241641,SUPER 8 MOTEL,2825 1/2 61ST ST # B,1,1,1,1,1
241642,SUPER 8 MOTEL,11421 LBJ FWY,1,1,1,1,1
241643,BEST WESTERN DINOSAUR VALLEY INN & SUITES,1311 NE BIG BEND TRL,1,1,1,1,1
241648,HOLIDAY INN EXPRESS INNS & SUITES,780 E VISTA RIDGE MALL DR,1,1,1,1,1
241650,SUPER 8,501 AVENUE Q,1,1,1,1,1
241651,COMFORT SUITES,1590 N CENTRAL EXPY,1,1,1,1,1
241654,SUPER-8 MOTEL,5400 VISTA RD,1,1,1,1,1
241656,SUPER 8 MOTEL,7700 MEMORIAL BLVD,1,1,1,1,1
241657,BEST WESTERN TEMPLE,602 N GENERAL BRUCE DR,1,1,1,1,1
242391,COMFORT INN AND SUITES,2706 N CAGE BLVD,1,1,1,1,1
242392,LA QUINTA INN & SUITES,4603 N CAGE BLVD,1,0,1,1,0
242393,VILLAS ON THE LAKE,17578 HIGHWAY 105 W,0,0,0,0,0
242394,ROYAL SONESTA HOTEL HOUSTON,2222 WEST LOOP S,0,1,1,0,1
243544,MOTEL 6 #4728,7800 HEATHROW DR,1,1,1,1,1
243920,MOTEL 6 ABILENE,4951 W STAMFORD ST,1,1,1,1,1
243922,MOTEL 6 AUSTIN SOUTH- AIRPORT,2707 INTERREGIONAL HWY S,1,1,1,1,1
243923,WEST TEXAS INN,600 W I-20,0,0,0,0,0
243926,MOTEL 6/STUDIO 6,2255 N EXPRESSWAY,1,1,1,1,1
244311,SUPER 7 INN HOUSTON-JERSEY VILLAGE,16884 NORTHWEST FWY,0,0,0,0,0
244313,MEMORIAL INN,2900 W SAM HOUSTON PKWY S,1,1,1,0,0
244314,MOTEL 6 HOUSTON - MEDICAL CENTER/NRG STADIUM,3223 SOUTH LOOP W,1,1,1,1,1
244322,MOTEL 6 #651,2185 SW LOOP 410,1,1,1,1,1
244335,MOTEL 6 #1136,8911 N HIGHWAY 146,1,1,1,1,1
244352,MOTEL 6 #1345,110 AIRPORT FWY,1,1,1,1,1
244353,MOTEL 6 #333,3001 W DICKINSON BLVD,1,1,1,1,1
244363,AMERICAS BEST VALUE INN & SUITES,5201 E PARKWAY ST,1,1,1,1,1
244364,MOTEL-6 HILLSBORO,1506 HILLVIEW DR,1,1,1,1,1
244374,MOTEL 6 #298,909 66TH ST,1,1,1,1,1
244384,MOTEL 6,3002 S CEDAR ST,1,1,1,1,1
244390,BUDGET INN,510 NW GEORGIA AVE,0,0,0,0,0
244391,DAYS INN,1104 N GENERAL BRUCE DR,1,1,1,0,0
244394,SCOTTSBURG HOSPITALITY CORP. MOTEL 6,3716 HOUSTON HWY,1,1,1,1,1
244395,MOTEL 6 #551,1001 W NASA RD 1,1,1,1,1,1
247102,EXTENDED STAY AMERICA #6195,13858 N US HIGHWAY 183,1,1,1,1,1
247103,EXTENDED STAY AMERICA # 6178,5100 W HIGHWAY 290,1,1,1,1,1
247104,BAY CITY INN,101 7TH ST,0,0,0,0,0
247108,HILTON GARDEN INN HOTEL,7979 WILLOW CHASE BLVD,1,1,1,1,1
247112,LA QUINTA INN & SUITE,689 E INTERSTATE 30,1,0,1,1,0
247123,BEST WESTERN HILL COUNTRY SUITES,18555 US HIGHWAY 281 N,1,1,1,1,1
247126,CANYON OF THE EAGLES,16942 RANCH ROAD 2341,0,0,0,0,0
247129,BEST WESTERN INN AND SUITES,4110 W AIRPORT FWY,1,1,1,1,1
247130,KINGS INN,500 W 1ST ST,1,0,1,1,0
247132,FAIRFIELD INN & SUITES,200 E CENTRAL TEXAS EXPY,1,1,1,1,1
247134,NAVASOTA INN,9460 HWY 6 S LOOP,0,0,0,0,0
247138,BEST WESTERN PORT LAVACA INN,2202 STATE HIGHWAY 35 N,1,1,1,1,1
247140,MOTEL 6,102 TOWNSEND DR,0,0,0,0,0
247542,RELIANSE LAREDO TX LLC,5310 SAN BERNARDO AVE,1,1,1,1,1
247773,RIVERWALK PLAZA HOTEL & SUITES,100 VILLITA ST,0,0,0,0,0
247877,BEST WESTERN BORGER INN,206 S CEDAR ST,1,1,1,1,1
247890,SUMMIT INN & SUITES,51325 HIGHWAY 290,0,0,0,0,0
247897,BEST WESTERN EXECUTIVE INN,5201 E END BLVD S,1,1,1,1,1
247898,SCOTTISH INNS & SUITES,9800 INTERSTATE 20,1,1,1,1,1
248120,ALAMO INN MOTEL,2203 E COMMERCE ST,0,0,0,0,0
248442,BEST WESTERN,314 E HIGHWAY ST,1,1,1,1,1
248703,STEAMBOAT INN,114 N MARSHALL ST,0,0,0,0,0
249576,LA VILLITA INN,736 S SAINT MARYS,0,0,0,0,0
249655,AMERICAS BEST VALUE INN & SUITES,9720 1/2 EASTEX FWY,1,1,1,1,1
249719,EXTENDED STAY AMERICA - LUBBOCK - SOUTHWEST,4802 S LOOP 289,1,1,1,1,1
249787,COUNTRY INN & SUITES,1502 INTERSTATE 35 N,1,1,1,1,1
249793,BEST WESTERN INN & SUITES FORT WORTH,201 W LOOP 820 N,1,1,1,1,1
249958,BEST WESTERN GARDEN INN & SUITES,4758 E US HIGHWAY 83,1,1,1,1,1
249959,LAQUINTA INN & SUITE,1915 WALL ST,1,0,1,1,0
250030,BEST VALUE INN,14020 HOMESTEAD RD,1,1,1,0,0
250344,EXECUTIVE INN,917 GRAND AVE,1,1,1,1,1
250345,QULAITY INN & SUITES,18658 INTERSTATE 35,1,1,1,1,1
250347,PLAZA HOTEL,904 1/2 W BARBOURS CUT BLVD,0,0,0,0,0
250349,BEST WESTERN PLUS LAKE WORTH INN & SUITES,3920 BOAT CLUB RD,1,1,1,1,1
250350,THE BUNGALOWS ON SHARY,3700 PLANTATION GROVE BLVD,0,1,1,0,0
250695,ISLANDER EAST RENTAL,415 E BEACH DR,0,0,0,0,0
250696,LA HACIENDA HOTEL,4914 SAN BERNARDO AVE,0,0,0,0,0
250698,HOLIDAY INN EXPRESS,901 S SHARY RD,1,1,1,1,1
251038,SUPER 8 DALHART,403 TANGLEWOOD RD,1,1,1,1,1
251039,BEST WESTERN PLUS MCKINNEY INN AND SUITES,480 WILSON CREEK BLVD,1,1,1,1,1
251042,PLANTATION SUITES AND CONFERENCE CENTER,1909 STATE HIGHWAY 361,0,0,0,0,0
251081,CANDLEWOOD SUITES,1700 HIGHWAY 146 N,0,0,0,0,0
252313,SPRINGHILL SUITES AUSTIN NORTH/PARMER LANE,12520 N INTERSTATE 35,1,1,1,1,1
252502,HOLIDAY INN EXPRESS & SUITES SAN ANTONIO NW-MEDICA,102 SPENCER LN,1,1,1,1,1
252778,AMERICA'S BEST VALUE INN & SUITES,175 W EXPRESSWAY 83,1,1,1,1,1
252820,HILTON GARDEN INN AUSTIN,11617 RESEARCH BLVD,1,1,1,1,1
253249,BIG BEND RESORT & ADVENTURES,HIGHWAY 118 AT 170,0,0,0,0,0
253302,SUPER 8 MOTEL,411 AVENUE F NE,1,1,1,1,1
253357,HOTEL TEXAS,2415 ELLIS AVE,0,0,0,0,0
253952,BLUE BAY INN,901 PADRE BLVD,0,1,1,0,0
254025,BEST WESTERN ROANOKE INN & SUITES,337 DORMAN RD,1,1,1,1,1
254040,MOON LIGHT INN & SUITES,8228 GULF FWY,0,0,0,0,0
