name,parent_name
Econo Lodge,Choice Hotels International
Extended Stay America,Extended Stay Hotels
E-Z 8,E-Z 8
Family Inn,Family Inns Of America
Good Nite Inn,Good Nite Inn
Great Western,Great Western
GreenTree Inn,GreenTree Inns
GuestHouse Inn,Red Lion Hotels Company
Home Inn,Home Inns
Home-Towne Suites,Home-Towne Suites
Howard Johnson,Wyndham Worldwide
InTown Suites,InTown Suites
Jameson Inn,Red Lion Hotels Company
Key West Inn,Key West Inns Company
Knights Inn,Wyndham Worldwide
Lite Hotels,Aqua Hospitality
Master Hosts Inns,Master Hosts Inns
Masters Inn,Masters Inn
Microtel Inn & Suites by Wyndham,Wyndham Worldwide
Motel 6,G6 Hospitality
National 9,National 9
Passport Inn,Passport Inns
Pear Tree Inn,Drury Hotels
Red Carpet Inn,Red Carpet Inns
Red Roof Inn,Westmont Hospitality Group
Rodeway Inn,Choice Hotels International
Savannah Suites,Savannah Suites
Scottish Inn,Scottish Inns
Select Inn,Select Inn
Studio 6,G6 Hospitality
Suburban Extended Stay,Choice Hotels International
Sun Suites,Sun Suites Hotels
Super 8,Wyndham Worldwide
Travelodge,Wyndham Worldwide
Value Place,WoodSpring Suites
WoodSpring Suites,WoodSpring Suites
