Scale ID,Chain Scale,Affiliation Name,Aff Parent Company Name,
3,Upscale Chains,Centara Hotels & Resorts,Centara Hotels & Resorts,
7,Independents,Centara Hotels & Resorts,Centara Hotels & Resorts,
3,Upscale Chains,Centara Residences & Suites,Centara Hotels & Resorts,
3,Upscale Chains,CenterHotel,Center Hotels,
4,Upper Midscale Chains,Centerstone Hotels,Cobblestone Hotels,
5,Midscale Chains,Centra Hotels & Resorts,Centara Hotels & Resorts,
6,Economy Chains,Centro Hotels,Centro Hotels,
4,Upper Midscale Chains,Centro Hotels by Rotana,Rotana Hotels,
2,Upper Upscale Chains,Champneys,Champneys,
3,Upscale Chains,Chandris Hotels & Resorts,Chandris Hotels & Resorts,
6,Economy Chains,Charles Wells,Wells & Co.,
4,Upper Midscale Chains,Chase Suites,Hardage Hospitality,
1,Luxury Chains,Cheval Residence Group,Cheval Residences Group,
3,Upscale Chains,chic&basic,Chic & Basic,
4,Upper Midscale Chains,Chisun Grand,Solare Hotels & Resorts,
5,Midscale Chains,Chisun Hotel,Solare Hotels & Resorts,
5,Midscale Chains,Chisun Inn,Solare Hotels & Resorts,
2,Upper Upscale Chains,Cinnamon,John Keells Group,
3,Upscale Chains,Citadines,The Ascott Group,
5,Midscale Chains,CitiGo Hotels,Huazhu Hotels Group,
5,Midscale Chains,Citin Hotels,Compass Hospitality,
3,Upscale Chains,citizenM Hotels,citizenM Hotels,
5,Midscale Chains,Citrus Hotels,Compass Hospitality,
4,Upper Midscale Chains,Citrus Hotels & Resorts,Citrus Hotels & Resorts,
3,Upscale Chains,City Apartments,City Apartments Ltd,
6,Economy Chains,City Comfort Inn,City Comfort Inn Group,
5,Midscale Chains,City Express,Hoteles City Express,
6,Economy Chains,City Express Junior,Hoteles City Express,
4,Upper Midscale Chains,City Express Plus,Hoteles City Express,
5,Midscale Chains,City Express Suites,Hoteles City Express,
6,Economy Chains,City Inn,Shenzhen Oct International Hotel Management Co Ltd,
4,Upper Midscale Chains,City Lodge,City Lodge Hotels,
4,Upper Midscale Chains,CityLife Hotels,Dynasty Hotel Group,
3,Upscale Chains,Ciutat Hotels,Ciutat Hotels,
3,Upscale Chains,Clarendon,Clarendon Serviced Apartments,
4,Upper Midscale Chains,Clarion,"Choice Hotels International, Inc.",
3,Upscale Chains,Clarion Collection,"Choice Hotels International, Inc.",
4,Upper Midscale Chains,Clarks Inn,Clarks Inn Group of Hotels,
3,Upscale Chains,Clayton Hotels,Dalata Hotel Group PLC,
2,Upper Upscale Chains,Club Med,Club Med,
2,Upper Upscale Chains,Club Quarters,Club Quarters Hotels,
3,Upscale Chains,Coast Hotels Canada,APA Hotels & Resorts,
3,Upscale Chains,Coast Hotels USA,Coast Hotels,
4,Upper Midscale Chains,Cobblestone,Cobblestone Hotels,
6,Economy Chains,Collection O Hotel,Oyo Rooms,
4,Upper Midscale Chains,Comfort,"Choice Hotels International, Inc.",
4,Upper Midscale Chains,Comfort Inn,"Choice Hotels International, Inc.",
4,Upper Midscale Chains,Comfort Suites,"Choice Hotels International, Inc.",
1,Luxury Chains,COMO Hotels & Resorts,Como Hotels and Resorts,
2,Upper Upscale Chains,Comwell,Comwell AS,
1,Luxury Chains,Concorde Hotels,Groupe du Louvre,
1,Luxury Chains,Conrad,Hilton Worldwide,
1,Luxury Chains,Constance Hotels,Constance Hotels & Resorts,
3,Upscale Chains,Copthorne Hotels,Millennium & Copthorne Global,
4,Upper Midscale Chains,Coral Hotels & Resorts,Hospitality Management Holdings,
6,Economy Chains,Cordela Hotels,Omega Hotel Group,
1,Luxury Chains,Cordis Hotels & Resorts,Langham Hotels International,
2,Upper Upscale Chains,Corinthia,CHI Hotels & Resorts,
4,Upper Midscale Chains,Corp Hotels,Hospitality Management Holdings,
3,Upscale Chains,Corus Hotels,Malayan United Industries Berhad,
3,Upscale Chains,Cotels Serviced Apartments,Cotels Serviced Apartments,
4,Upper Midscale Chains,Country Comfort,Next Story Group,
4,Upper Midscale Chains,Country Garden Phoenix Hotel,Funyard Hotels and Resorts,
6,Economy Chains,Country Hearth Inn,RLH Corporation,
4,Upper Midscale Chains,Country Inn & Suites,Radisson Hotel Group,
3,Upscale Chains,Courtyard,Marriott International,
3,Upscale Chains,Courtyard Hotel,City Lodge Hotels,
4,Upper Midscale Chains,Cresta Hotels,Cresta Hotels,
1,Luxury Chains,Crown Hotel,Crown Hotels,
3,Upscale Chains,Crowne Plaza,IHG Hotels & Resorts,
4,Upper Midscale Chains,Crystal Hotels,Crystal Hotels Plc,
5,Midscale Chains,Crystal Inn,Crystal Inn,
4,Upper Midscale Chains,Crystal Orange Hotels,Huazhu Hotels Group,
2,Upper Upscale Chains,Curio Collection by Hilton,Hilton Worldwide,
5,Midscale Chains,Cygnett,Cygnett Hotels and Resorts,
5,Midscale Chains,Dafam Hotels,Dafam Hotels,
2,Upper Upscale Chains,Dai-ichi,Hankyu Hanshin Daiichi Hotel Group,
5,Midscale Chains,Daish's Holidays,Daish's Holidays,
4,Upper Midscale Chains,Daiwa Royal Hotels,Daiwa House Group,
4,Upper Midscale Chains,Daiwa Roynet Hotels,Daiwa House Group,
4,Upper Midscale Chains,Dakota Hotels,Dakota Hotels,
4,Upper Midscale Chains,Danubius,Danubius Hotels,
6,Economy Chains,Days Inn,Wyndham Hotels & Resorts,
5,Midscale Chains,Days Inn China,Wyndham Hotels & Resorts,
3,Upscale Chains,Dazzler Hotels,Wyndham Hotels & Resorts,
3,Upscale Chains,De Vere,Principal Hotel Company,
3,Upscale Chains,Decameron Hotels & Resorts,Decameron All-Inclusive Hotels & Resorts,
4,Upper Midscale Chains,Dedeman Hotels,Dedeman Hotels & Resorts,
5,Midscale Chains,Delfin Hotels,Delfin Hotels,
3,Upscale Chains,Delta Hotels,Marriott International,
2,Upper Upscale Chains,Derby Hotels Collection,Derby Hotels Collection,
1,Luxury Chains,Destination Hotels,Hyatt,
1,Luxury Chains,Diaoyutai,"Diaoyutai MGM Hospitality, Ltd.",
5,Midscale Chains,Discovery Park,Discovery Parks Group,
2,Upper Upscale Chains,Disney's Deluxe Resorts,Walt Disney World Resorts,
3,Upscale Chains,Disney's Moderate Resorts,Walt Disney World Resorts,
4,Upper Midscale Chains,Disney's Value Resorts,Walt Disney World Resorts,
2,Upper Upscale Chains,Distinction Hotels,Distinction Hotels,
3,Upscale Chains,Divan,Divan,
2,Upper Upscale Chains,Divani Hotels,Divani Hotels,
2,Upper Upscale Chains,Dolce Hotels & Resorts,Wyndham Hotels & Resorts,
4,Upper Midscale Chains,Domina Hotel,Domina Hotel Group,
1,Luxury Chains,Dorchester Collection,Dorchester Collection,
3,Upscale Chains,Dorint Hotels & Resorts,Dorint Hotels & Resorts,
3,Upscale Chains,Dormero Hotel,Dormero Hotels AG,
4,Upper Midscale Chains,Dormy Inn,Kyoritsu Maintenance,
4,Upper Midscale Chains,Dorsett,Far East Consortium International Ltd,
3,Upscale Chains,DoubleTree by Hilton,Hilton Worldwide,
4,Upper Midscale Chains,DoubleTree Club,Hilton Worldwide,
6,Economy Chains,Downtowner Inns,"Hospitality International, Inc.",
1,Luxury Chains,Doyle Collection,Doyle Collection Management,
5,Midscale Chains,Dragonfly Hotels,Flying Trade Group PLC,
2,Upper Upscale Chains,Dream Hotels,Dream Hotel Group,
2,Upper Upscale Chains,Dreamhouse Serviced Apartment,Dreamhouse Apartments,
1,Luxury Chains,Dreams Resorts & Spas,AMResorts,
4,Upper Midscale Chains,Drury Inn & Suites,Drury Inns,
4,Upper Midscale Chains,Drury Plaza Hotel,Drury Inns,
1,Luxury Chains,Dusit Devarana,Dusit Thani Public Company Limited,
4,Upper Midscale Chains,Dusit Princess,Dusit Thani Public Company Limited,
2,Upper Upscale Chains,Dusit Thani Hotels & Resorts,Dusit Thani Public Company Limited,
3,Upscale Chains,dusitD2,Dusit Thani Public Company Limited,
4,Upper Midscale Chains,Eastin,Absolute Hotel Services Group,
5,Midscale Chains,Eastin Easy,Absolute Hotel Services Group,
6,Economy Chains,easyHotel,easyHotel,
3,Upscale Chains,Eaton,Langham Hotels International,
6,Economy Chains,Econo Lodge,"Choice Hotels International, Inc.",
1,Luxury Chains,Edition,Marriott International,
5,Midscale Chains,ehotel,"Colours International Co., LTD",
5,Midscale Chains,Mouradi Hotel,El Mouradi Hotels,
6,Economy Chains,Elan Hotel,Huazhu Hotels Group,
4,Upper Midscale Chains,Elba Hotels,Hoteles Elba,
2,Upper Upscale Chains,Electra Palace Hotel,Electra Palace Hotel,
1,Luxury Chains,Elegant Hotels Group,Marriott International,
3,Upscale Chains,element,Marriott International,
3,Upscale Chains,Elite Hotels,Elite Hotels of Sweden,
2,Upper Upscale Chains,Embassy Suites by Hilton,Hilton Worldwide,
3,Upscale Chains,Esplendor Hotels,Wyndham Hotels & Resorts,
3,Upscale Chains,Hoteles Estelar,Hoteles Estelar,
3,Upscale Chains,EuroAgentur Hotel,EuroAgentur Hotel,
5,Midscale Chains,Europa,Europa Group Hotels,
3,Upscale Chains,Eurostars Hotels,Eurostars Hotel Company,
5,Midscale Chains,Eurotel Hotels,Eurotel Hotels,
3,Upscale Chains,EVEN Hotels,IHG Hotels & Resorts,
3,Upscale Chains,Evenia Hotels,Evenia Hotels,
3,Upscale Chains,Evergrande Hotels & Resorts,Evergrande Hotels & Resorts,
6,Economy Chains,Evergreen,Evergreen,
3,Upscale Chains,Ewa Hotel Apartments,Hospitality Management Holdings,
3,Upscale Chains,Excel Hotel Tokyu,Tokyu Hotels,
5,Midscale Chains,Excemon,Luxemon Hotels & Resorts,
4,Upper Midscale Chains,Exe Hotels,Eurostars Hotel Company,
6,Economy Chains,Extended Stay America,Extended Stay America,
6,Economy Chains,Extended Suites,Grupo Estancias Extendidas,
6,Economy Chains,E-Z 8,"E-Z 8 Motels, Inc.",
6,Economy Chains,FabHotels,fabHotels,
5,Midscale Chains,FairBridge Inn,Fairbridge Hotels International,
4,Upper Midscale Chains,Fairfield Inn,Marriott International,
1,Luxury Chains,Fairmont,Accor Hotels,
6,Economy Chains,Favehotels,Archipelago International,
5,Midscale Chains,Fiesta Hotels,Palladium Hotel Group,
3,Upscale Chains,Fiesta Americana,Grupo Posadas,
5,Midscale Chains,Fiesta Inn,Grupo Posadas,
2,Upper Upscale Chains,Fireside Inn & Suites,Lafayette Hotels,
1,Luxury Chains,Firmdale Hotels,Firmdale Hotels PLC,
3,Upscale Chains,First Hotels,Host Drift AS,
4,Upper Midscale Chains,Fleming's Hotels & Restaurant,HMG Hotel Management & Services,
5,Midscale Chains,Fletcher Hotels,Fletcher Hotels,
